n,function,axis,Error Location,Max_Loss_Percent,Mean_Loss_Percent
1,balanced,X,E1,,
1,balanced,X,E2,,
1,balanced,X,E3,,
1,balanced,X,E4,,
1,balanced,Y,E1,,
1,balanced,Y,E2,,
1,balanced,Y,E3,,
1,balanced,Y,E4,,
1,balanced,Z,E1,,
1,balanced,Z,E2,,
1,balanced,Z,E3,,
1,balanced,Z,E4,,
1,constant_0,X,E1,100.0,50.29810855263158
1,constant_0,X,E2,0.0,0.0
1,constant_0,X,E3,0.0,0.0
1,constant_0,X,E4,100.0,50.21073190789474
1,constant_0,Y,E1,100.0,49.5836759868421
1,constant_0,Y,E2,100.0,50.061677631578945
1,constant_0,Y,E3,100.0,50.328947368421055
1,constant_0,Y,E4,100.0,49.95374177631579
1,constant_0,Z,E1,0.0,0.0
1,constant_0,Z,E2,100.0,49.95888157894737
1,constant_0,Z,E3,100.0,49.87150493421053
1,constant_0,Z,E4,0.0,0.0
1,constant_1,X,E1,100.0,49.83552631578947
1,constant_1,X,E2,0.0,0.0
1,constant_1,X,E3,0.0,0.0
1,constant_1,X,E4,100.0,49.979440789473685
1,constant_1,Y,E1,100.0,50.08223684210526
1,constant_1,Y,E2,100.0,50.1953125
1,constant_1,Y,E3,100.0,49.8046875
1,constant_1,Y,E4,100.0,49.71217105263158
1,constant_1,Z,E1,0.0,0.0
1,constant_1,Z,E2,100.0,50.16447368421053
1,constant_1,Z,E3,100.0,49.86122532894737
1,constant_1,Z,E4,0.0,0.0
3,balanced,X,E1,,
3,balanced,X,E2,,
3,balanced,X,E3,,
3,balanced,X,E4,,
3,balanced,Y,E1,,
3,balanced,Y,E2,,
3,balanced,Y,E3,,
3,balanced,Y,E4,,
3,balanced,Z,E1,,
3,balanced,Z,E2,,
3,balanced,Z,E3,,
3,balanced,Z,E4,,
3,constant_0,X,E1,100.0,50.30324835526316
3,constant_0,X,E2,0.0,0.0
3,constant_0,X,E3,0.0,0.0
3,constant_0,X,E4,100.0,49.45518092105263
3,constant_0,Y,E1,100.0,49.65049342105263
3,constant_0,Y,E2,100.0,49.922902960526315
3,constant_0,Y,E3,100.0,50.0719572368421
3,constant_0,Y,E4,100.0,49.64021381578947
3,constant_0,Z,E1,0.0,0.0
3,constant_0,Z,E2,100.0,50.0719572368421
3,constant_0,Z,E3,100.0,50.26212993421053
3,constant_0,Z,E4,0.0,0.0
3,constant_1,X,E1,100.0,49.94860197368421
3,constant_1,X,E2,0.0,0.0
3,constant_1,X,E3,0.0,0.0
3,constant_1,X,E4,100.0,49.629934210526315
3,constant_1,Y,E1,100.0,49.98972039473684
3,constant_1,Y,E2,100.0,49.94860197368421
3,constant_1,Y,E3,100.0,50.08223684210526
3,constant_1,Y,E4,100.0,49.70703125
3,constant_1,Z,E1,0.0,0.0
3,constant_1,Z,E2,100.0,49.645353618421055
3,constant_1,Z,E3,100.0,49.52199835526316
3,constant_1,Z,E4,0.0,0.0
5,balanced,X,E1,,
5,balanced,X,E2,,
5,balanced,X,E3,,
5,balanced,X,E4,,
5,balanced,Y,E1,,
5,balanced,Y,E2,,
5,balanced,Y,E3,,
5,balanced,Y,E4,,
5,balanced,Z,E1,,
5,balanced,Z,E2,,
5,balanced,Z,E3,,
5,balanced,Z,E4,,
5,constant_0,X,E1,100.0,49.9280427631579
5,constant_0,X,E2,0.0,0.0
5,constant_0,X,E3,0.0,0.0
5,constant_0,X,E4,100.0,50.01541940789474
5,constant_0,Y,E1,100.0,50.30838815789474
5,constant_0,Y,E2,100.0,49.61965460526316
5,constant_0,Y,E3,100.0,49.71217105263158
5,constant_0,Y,E4,100.0,50.09251644736842
5,constant_0,Z,E1,0.0,0.0
5,constant_0,Z,E2,100.0,50.14391447368421
5,constant_0,Z,E3,100.0,50.020559210526315
5,constant_0,Z,E4,0.0,0.0
5,constant_1,X,E1,100.0,50.0256990131579
5,constant_1,X,E2,0.0,0.0
5,constant_1,X,E3,0.0,0.0
5,constant_1,X,E4,100.0,49.743009868421055
5,constant_1,Y,E1,100.0,49.75328947368421
5,constant_1,Y,E2,100.0,49.90748355263158
5,constant_1,Y,E3,100.0,49.922902960526315
5,constant_1,Y,E4,100.0,50.159333881578945
5,constant_1,Z,E1,0.0,0.0
5,constant_1,Z,E2,100.0,50.10279605263158
5,constant_1,Z,E3,100.0,49.727590460526315
5,constant_1,Z,E4,0.0,0.0
7,balanced,X,E1,,
7,balanced,X,E2,,
7,balanced,X,E3,,
7,balanced,X,E4,,
7,balanced,Y,E1,,
7,balanced,Y,E2,,
7,balanced,Y,E3,,
7,balanced,Y,E4,,
7,balanced,Z,E1,,
7,balanced,Z,E2,,
7,balanced,Z,E3,,
7,balanced,Z,E4,,
7,constant_0,X,E1,100.0,50.08737664473684
7,constant_0,X,E2,0.0,0.0
7,constant_0,X,E3,0.0,0.0
7,constant_0,X,E4,100.0,50.328947368421055
7,constant_0,Y,E1,100.0,50.15419407894737
7,constant_0,Y,E2,100.0,49.90748355263158
7,constant_0,Y,E3,100.0,50.13877467105263
7,constant_0,Y,E4,100.0,50.32380756578947
7,constant_0,Z,E1,0.0,0.0
7,constant_0,Z,E2,100.0,49.88692434210526
7,constant_0,Z,E3,100.0,50.23643092105263
7,constant_0,Z,E4,0.0,0.0
7,constant_1,X,E1,100.0,50.20045230263158
7,constant_1,X,E2,0.0,0.0
7,constant_1,X,E3,0.0,0.0
7,constant_1,X,E4,100.0,50.1696134868421
7,constant_1,Y,E1,100.0,50.390625
7,constant_1,Y,E2,100.0,50.24671052631579
7,constant_1,Y,E3,100.0,49.922902960526315
7,constant_1,Y,E4,100.0,50.370065789473685
7,constant_1,Z,E1,0.0,0.0
7,constant_1,Z,E2,100.0,50.035978618421055
7,constant_1,Z,E3,100.0,50.6116365131579
7,constant_1,Z,E4,0.0,0.0
9,balanced,X,E1,,
9,balanced,X,E2,,
9,balanced,X,E3,,
9,balanced,X,E4,,
9,balanced,Y,E1,,
9,balanced,Y,E2,,
9,balanced,Y,E3,,
9,balanced,Y,E4,,
9,balanced,Z,E1,,
9,balanced,Z,E2,,
9,balanced,Z,E3,,
9,balanced,Z,E4,,
9,constant_0,X,E1,100.0,50.14391447368421
9,constant_0,X,E2,0.0,0.0
9,constant_0,X,E3,0.0,0.0
9,constant_0,X,E4,100.0,50.03083881578947
9,constant_0,Y,E1,100.0,50.25185032894737
9,constant_0,Y,E2,100.0,49.98458059210526
9,constant_0,Y,E3,100.0,49.98458059210526
9,constant_0,Y,E4,100.0,49.38322368421053
9,constant_0,Z,E1,0.0,0.0
9,constant_0,Z,E2,100.0,49.76356907894737
9,constant_0,Z,E3,100.0,50.08223684210526
9,constant_0,Z,E4,0.0,0.0
9,constant_1,X,E1,100.0,50.077097039473685
9,constant_1,X,E2,0.0,0.0
9,constant_1,X,E3,0.0,0.0
9,constant_1,X,E4,100.0,49.77384868421053
9,constant_1,Y,E1,100.0,49.89720394736842
9,constant_1,Y,E2,100.0,50.09251644736842
9,constant_1,Y,E3,100.0,49.96916118421053
9,constant_1,Y,E4,100.0,50.14391447368421
9,constant_1,Z,E1,0.0,0.0
9,constant_1,Z,E2,100.0,50.05653782894737
9,constant_1,Z,E3,100.0,49.7327302631579
9,constant_1,Z,E4,0.0,0.0
